BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION,SETTLEPRICE,SWAPRATE,WAPRICE,CHANGE,QTY,NUMTRADES,SHORTNAME,ASSETCODE,SECID_REQUESTED
RFUD,2026-03-30,MMU6,2900.1,2881.7,2921.3,2911.05,461414816.0,76567556.0,2636.0,15854,2910.4,0.0,2904.91,0.42,1.0,997,MXI-9.26,MXI,MMU6
RFUD,2026-03-31,MMU6,2904.0,2869.3,2906.3,2878.25,469615722.0,48861072.5,1694.0,16318,2877.9,0.0,2882.95,-1.13,1.0,773,MXI-9.26,MXI,MMU6
RFUD,2026-04-01,MMU6,2875.1,2869.0,2893.3,2888.6,470103684.0,23293184.0,809.0,16312,2881.95,0.0,2879.28,0.36,1.0,453,MXI-9.26,MXI,MMU6
RFUD,2026-04-02,MMU6,2889.9,2869.65,2891.95,2875.0,469322788.0,21640537.0,751.0,16322,2875.4,0.0,2881.55,-0.47,1.0,376,MXI-9.26,MXI,MMU6
RFUD,2026-04-03,MMU6,2883.5,2849.45,2888.05,2856.9,478678534.0,23964088.5,837.0,16754,2857.1,0.0,2861.87,-0.63,2.0,463,MXI-9.26,MXI,MMU6
RFUD,2026-04-06,MMU6,2859.15,2843.0,2885.0,2880.65,498896552.0,45382435.5,1588.0,17324,2879.8,0.0,2857.89,0.83,6.0,789,MXI-9.26,MXI,MMU6
RFUD,2026-04-07,MMU6,2881.3,2871.25,2894.75,2872.5,519127336.0,30305110.5,1051.0,18004,2883.4,0.0,2885.17,-0.28,1.0,581,MXI-9.26,MXI,MMU6
RFUD,2026-04-08,MMU6,2868.0,2845.1,2868.0,2849.7,516628380.0,52593554.5,1842.0,18120,2851.15,0.0,2853.91,-0.79,1.0,869,MXI-9.26,MXI,MMU6
RFUD,2026-04-09,MMU6,2852.75,2819.0,2855.15,2825.1,524482198.0,56042830.0,1975.0,18598,2820.1,0.0,2835.97,-0.86,1.0,972,MXI-9.26,MXI,MMU6
RFUD,2026-04-10,MMU6,2828.0,2800.0,2829.0,2802.1,532648386.0,34352550.0,1221.0,18972,2807.55,0.0,2813.47,-0.81,1.0,693,MXI-9.26,MXI,MMU6
