open,close,high,low,value,volume,begin,end
3216.92,3197.22,3228.46,3197.22,44725565876.95,0,2023-11-02 00:00:00,2023-11-02 23:59:59
3207.04,3208.63,3212.81,3182.17,45527115236.0,0,2023-11-03 00:00:00,2023-11-03 23:59:59
3207.47,3235.11,3237.09,3207.1,34621931434.3,0,2023-11-06 00:00:00,2023-11-06 23:59:59
3239.98,3246.34,3246.65,3228.46,43761541279.6,0,2023-11-07 00:00:00,2023-11-07 23:59:59
3238.81,3245.43,3257.32,3233.11,51717129125.9,0,2023-11-08 00:00:00,2023-11-08 23:59:59
3241.5,3239.92,3245.11,3222.34,41676218574.1,0,2023-11-09 00:00:00,2023-11-09 23:59:59
3236.03,3242.06,3246.31,3229.1,45648433667.5,0,2023-11-10 00:00:00,2023-11-10 23:59:59
3241.31,3248.27,3251.74,3235.06,46210068912.2,0,2023-11-13 00:00:00,2023-11-13 23:59:59
3236.48,3212.39,3236.48,3192.32,60536270231.15,0,2023-11-14 00:00:00,2023-11-14 23:59:59
3195.43,3215.11,3221.22,3182.78,51510619170.35,0,2023-11-15 00:00:00,2023-11-15 23:59:59
3209.33,3189.08,3215.93,3184.97,38042327235.65,0,2023-11-16 00:00:00,2023-11-16 23:59:59
3172.78,3206.34,3208.17,3151.95,48876695171.45,0,2023-11-17 00:00:00,2023-11-17 23:59:59
3205.73,3207.36,3216.73,3194.4,39389218372.35,0,2023-11-20 00:00:00,2023-11-20 23:59:59
3198.73,3218.48,3219.11,3193.46,43450662035.45,0,2023-11-21 00:00:00,2023-11-21 23:59:59
3221.9,3230.65,3239.17,3220.37,54706914415.9,0,2023-11-22 00:00:00,2023-11-22 23:59:59
3233.09,3221.05,3238.81,3218.72,38576759503.2,0,2023-11-23 00:00:00,2023-11-23 23:59:59
3223.75,3217.76,3231.77,3203.62,48043285163.85,0,2023-11-24 00:00:00,2023-11-24 23:59:59
3220.25,3191.05,3224.61,3178.2,71973813282.4,0,2023-11-27 00:00:00,2023-11-27 23:59:59
